Date,Item_Name,Current_Stock,Waste_Amount,Deliveries_Received,Notes
2025-08-19,12oz Paper Cups,7.5,0.0,5.0,New supply order arrived
2025-08-19,House Blend Coffee,12.0,0.0,10.0,Weekly coffee delivery
2025-08-19,Vanilla Syrup,8.0,0.0,6.0,Restocked flavors
2025-08-19,Whole Milk,15.0,0.0,20.0,Monday delivery - fresh stock
2025-08-20,12oz Paper Cups,6.8,0.0,0.0,Regular cup usage
2025-08-20,House Blend Coffee,10.2,0.0,0.0,Steady coffee sales
2025-08-20,Vanilla Syrup,7.2,0.0,0.0,Popular flavor today
2025-08-20,Whole Milk,12.5,0.5,0.0,Normal Tuesday usage
2025-08-21,12oz Paper Cups,5.9,0.0,0.0,Good sales day
2025-08-21,House Blend Coffee,8.5,0.0,0.0,High coffee demand
2025-08-21,Vanilla Syrup,6.4,0.1,0.0,One bottle opened
2025-08-21,Whole Milk,9.8,0.2,0.0,Busy Wednesday
2025-08-22,12oz Paper Cups,4.7,0.0,0.0,Running lower
2025-08-22,House Blend Coffee,6.8,0.0,0.0,Consistent usage
2025-08-22,Vanilla Syrup,5.6,0.0,0.0,Normal usage
2025-08-22,Whole Milk,6.5,0.3,0.0,Thursday rush
2025-08-23,12oz Paper Cups,3.1,0.0,0.0,Below minimum threshold
2025-08-23,House Blend Coffee,4.9,0.1,0.0,Need to reorder soon
2025-08-23,Vanilla Syrup,4.8,0.1,0.0,Still good supply
2025-08-23,Whole Milk,3.2,0.2,0.0,Friday busy - getting low
2025-08-24,House Blend Coffee,2.9,0.0,0.0,Testing sync - lower
2025-08-24,Whole Milk,1.8,0.1,0.0,Testing sync - even lower
2025-08-25,12oz Paper Cups,0.8,0.0,0.0,Critical - below minimum cups
2025-08-25,House Blend Coffee,2.1,0.0,0.0,Testing CSV sync - low coffee
2025-08-25,Whole Milk,1.2,0.2,0.0,Testing CSV sync - very low milk
2025-08-26,12oz Paper Cups,2.5,0.0,0.0,Critical - order today
2025-08-26,House Blend Coffee,5.9,0.0,0.0,Corrected evening count
2025-08-26,Vanilla Syrup,4.2,0.0,0.0,Still good supply
2025-08-26,Whole Milk,7.8,0.2,5.0,Updated count with delivery
2025-08-27,12oz Paper Cups,1.8,0.0,0.0,Critical level
2025-08-27,House Blend Coffee,8.1,0.0,5.0,Fresh delivery received
2025-08-27,Vanilla Syrup,6.5,0.1,0.0,Normal usage
2025-08-27,Whole Milk,5.2,0.3,0.0,Low stock - need delivery
